,,4 x 4 x 5 = 80 x 3 rep = 240,,,,,
,,BR2121,,,,,
,,"M(1), A(2), B(3), C(4)",,"0(1),10(2), 20(3), 40(4)",,"0(1), 50(2), 110(3), 150(4), 190(5)",
,,rotação 1,,inseto,,tempo,r
REP 1,A,2,0,1,110,3,#VALUE!
REP 2,A,2,0,1,110,3,#VALUE!
REP 3,A,2,0,1,110,3,#VALUE!
REP 1,A,2,10,2,110,3,"0,00369"
REP 2,A,2,10,2,110,3,"0,00757"
REP 3,A,2,10,2,110,3,"0,00166"
REP 1,A,2,20,3,110,3,"0,00398"
REP 2,A,2,20,3,110,3,"0,00398"
REP 3,A,2,20,3,110,3,"0,00239"
REP 1,A,2,40,4,110,3,"-0,00071"
REP 2,A,2,40,4,110,3,"0,00107"
REP 3,A,2,40,4,110,3,"0,00000"
REP 1,A,2,0,1,150,4,#VALUE!
REP 2,A,2,0,1,150,4,#VALUE!
REP 3,A,2,0,1,150,4,#VALUE!
REP 1,A,2,10,2,150,4,"0,00354"
REP 2,A,2,10,2,150,4,"0,00686"
REP 3,A,2,10,2,150,4,"0,00270"
REP 1,A,2,20,3,150,4,"0,00313"
REP 2,A,2,20,3,150,4,"0,00270"
REP 3,A,2,20,3,150,4,"0,00093"
REP 1,A,2,40,4,150,4,"-0,00238"
REP 2,A,2,40,4,150,4,"0,00000"
REP 3,A,2,40,4,150,4,"-0,00034"
REP 1,A,2,0,1,190,5,#VALUE!
REP 2,A,2,0,1,190,5,#VALUE!
REP 3,A,2,0,1,190,5,#VALUE!
REP 1,A,2,10,2,190,5,"0,00247"
REP 2,A,2,10,2,190,5,"0,00503"
REP 3,A,2,10,2,190,5,"-0,00055"
REP 1,A,2,20,3,190,5,"0,00138"
REP 2,A,2,20,3,190,5,"0,00158"
REP 3,A,2,20,3,190,5,"0,00050"
REP 1,A,2,40,4,190,5,"-0,00450"
REP 2,A,2,40,4,190,5,"-0,00169"
REP 3,A,2,40,4,190,5,"-0,00151"
BR3123,,,,,,,
REP 1,B,3,0,1,0,1,0
REP 2,B,3,0,1,0,1,0
REP 3,B,3,0,1,0,1,0
REP 1,B,3,10,2,0,1,0
REP 2,B,3,10,2,0,1,0
REP 3,B,3,10,2,0,1,0
REP 1,B,3,20,3,0,1,0
REP 2,B,3,20,3,0,1,0
